经号,经名,所属藏经,部类,册别,卷数,作译者,时间
B0032,七十空性論科攝,補編,新編部類,9,1卷,龍樹造 法尊譯 弘悲科攝,
B0033,大乘修心七義論釋,補編,新編部類,9,1卷,無著造 慧海等譯,
B0034,辨法法性論,補編,新編部類,9,1卷,彌勒造 法尊譯,
B0035,西藏傳本攝大乘論,補編,新編部類,9,1卷,無著造 呂澂譯,
B0036,三自性論,補編,新編部類,9,1卷,世親造 劉孝蘭譯,
B0037,集量論釋略抄,補編,新編部類,9,1卷,呂澂輯,
B0038,安慧三十唯識釋略抄,補編,新編部類,9,1卷,呂澂輯,
B0039,觀所緣釋論會譯,補編,新編部類,9,1卷,呂澂．印滄編,
B0040,集量論略解,補編,新編部類,9,6卷,陳那著 法尊譯編,
B0041,正理滴論,補編,新編部類,9,1卷,法稱著 王森譯,
B0042,正理滴論,補編,新編部類,9,1卷,法稱著 楊化群譯,
B0043,釋量論略解,補編,新編部類,9,9卷,法稱著 僧成釋 法尊譯,
B0044,入中論善顯密意疏,補編,新編部類,9,14卷,宗喀巴造 法尊譯,
B0045,入中論講記,補編,新編部類,9,1卷,月稱造頌 法尊譯講,
B0046,中論略義,補編,新編部類,9,1卷,宗喀巴著 潭影譯,
B0047,中論文句釋,補編,新編部類,9,1卷,僧成釋 常浩譯,
B0048,辨了不了義善說藏論,補編,新編部類,10,5卷,宗喀巴造 法尊譯,
B0049,菩提道炬論,補編,新編部類,10,1卷,阿底霞造 超一譯,
B0050,地道建立,補編,新編部類,10,1卷,三寶無畏王造 法尊譯,
B0051,菩提道次恒修教授,補編,新編部類,10,1卷,札迦說 法尊譯,
B0052,緣起讚,補編,新編部類,10,1卷,宗喀巴著 法尊譯,
B0053,集諸學頌,補編,新編部類,10,1卷,寂靜造 超一譯,
B0054,菩提道次第論攝頌,補編,新編部類,10,1卷,宗喀巴造 超一譯,
B0055,菩提道次第論極略頌,補編,新編部類,10,1卷,宗喀巴著 超一譯,
B0056,西藏法寶貫珠,補編,新編部類,10,1卷,達瓦桑杜譯英 伊文思溫慈編註 趙洪鑄譯漢,
B0057,密宗道次第論,補編,新編部類,10,5卷,克主著 法尊譯,
B0058,涅般道大手印瑜伽法要釋,補編,新編部類,10,1卷,白蓮花造 光明心譯,
B0059,明行道六成就法,補編,新編部類,10,1卷,珀瑪迦爾著 張妙定蓮菩提金剛正譯,
B0060,頗哇心要轉識自在法,補編,新編部類,10,1卷,達瓦桑杜譯英 伊文思溫慈纂集 張妙定蓮菩提金剛正譯漢,
B0061,椎擊三要訣勝法解,補編,新編部類,10,1卷,大善解功德主著 貢噶傳 滿空譯,
B0062,貢噶上師恒河大手印直講,補編,新編部類,10,1卷,貢噶講,
B0063,大密妙義深道六法引導廣論纂要,補編,新編部類,10,1卷,吉祥造 鍾伯毅纂,
B0064,大圓滿,補編,新編部類,10,1卷,郭元興著 慈威校註,
B0065,菩提道次第略論,補編,新編部類,10,6卷,宗喀巴著 邢肅芝譯,
B0066,菩提道次第直講,補編,新編部類,10,6卷,宗喀巴著 大勇口譯 智湛筆錄,
B0067,菩提道次第廣論,補編,新編部類,10,24卷,宗喀巴著 法尊譯,
B0068,密宗道次第廣論,補編,新編部類,10,22卷,宗喀巴著 法尊譯,
B0069,七系付法傳,補編,新編部類,11,7卷,多羅那他著 郭元興譯,
B0070,安樂妙寶,補編,新編部類,11,1卷,金慧暢編,
B0071,蓮華生大士應化史略,補編,新編部類,11,15卷,諾那呼圖克圖逞列匠磋譯,
B0072,阿底峽尊者傳,補編,新編部類,11,5卷,法尊譯述,
B0073,木納記,補編,新編部類,11,29卷,惹穹多傑札把著 多傑譯述 張心若筆錄,
B0074,宗喀巴大師傳,補編,新編部類,11,5卷,法尊譯述,
B0075,西藏王臣護法記,補編,新編部類,11,26卷,第五世達賴喇嘛著 郭和卿譯,
B0076,印度佛教史,補編,新編部類,11,44卷,達喇那他著 王沂暖譯,
B0077,洛陽伽藍記校釋,補編,新編部類,12,5卷,楊衒之著 周祖謨校釋,
B0078,洛陽伽藍記校注,補編,新編部類,12,5卷,楊衒之著 范祥雍校注,
B0079,釋氏六帖,補編,新編部類,13,24卷,義楚集,
B0080,大唐西域記,補編,新編部類,13,12卷,玄奘口述 辯機編纂,
B0081,雙峰山曹侯溪寶林傳,補編,新編部類,14,7卷,智炬著,
B0082,傳燈玉英集,補編,新編部類,14,9卷,王隨編,
B0084,藏逸經書標目,補編,新編部類,14,1卷,密藏編,
B0085,憨山大師年譜疏註,補編,新編部類,14,2卷,福善記錄 福徵述疏,
B0086,南朝寺考,補編,新編部類,14,1卷,劉世珩著,
B0087,合訂天台三聖二和詩集,補編,新編部類,14,1卷,寒山．豐干．拾得原詩 梵琦．濟岳和,
B0088,古今圖書集成選輯,補編,新編部類,15..16,158卷,,
B0089,太平廣記選輯,補編,新編部類,17,48卷,李昉等編纂,
B0090,酉陽雜俎選輯,補編,新編部類,17,6卷,段成式著,
B0091,正史選輯,補編,新編部類,17,10卷,,
B0092,唐會要、五代會要、明書、明會典選輯,補編,新編部類,17,8卷,,
B0093,象教皮編,補編,新編部類,17,6卷,陳士元編,
B0094,冊府元龜選輯,補編,新編部類,17,4卷,王欽若、楊億等著,
B0095,入唐求法巡禮行記,補編,新編部類,18,4卷,圓仁著,
B0096,佛教繪畫史料,補編,新編部類,18,6卷,,
B0097,歸元鏡,補編,新編部類,18,2卷,智達著,
B0098,高旻寺規約,補編,新編部類,18,3卷,來果著,
B0099,相宗絡索,補編,新編部類,18,1卷,王夫之著,
B0101,絕觀論,補編,新編部類,18,1卷,菩提達磨（？）著,
B0103,禪林象器箋,補編,新編部類,19,30卷,無著道忠著,
B0116,金剛般若波羅蜜經集註,補編,新編部類,21,1卷,明成祖朱棣集註,
B0117,三藏法數,補編,新編部類,22,38卷,一如等編 丁福保重校,
B0118,律宗燈譜,補編,新編部類,22,8卷,源諒著 劉霞彩編,
B0119,天然和尚年譜,補編,新編部類,22,1卷,汪宗衍著,
B0130,靈峰宗論,補編,新編部類,23,1卷,智旭著,
B0131,法海觀瀾,補編,新編部類,24,5卷,智旭輯,
B0132,尚直編,補編,新編部類,24,2卷,空谷景隆著,
B0133,尚理編,補編,新編部類,24,1卷,空谷景隆著,
B0134,闢邪集,補編,新編部類,24,2卷,鍾始聲著,
B0135,蒲室集,補編,新編部類,24,15卷,笑隱大訢著,
B0136,選佛譜,補編,新編部類,24,6卷,智旭著,
B0137,正名錄,補編,新編部類,24,14卷,智楷著,
B0139,獻花巖志,補編,新編部類,24,1卷,陳沂著,
B0140,雪峰志,補編,新編部類,24,10卷,徐𤊹纂輯,
B0141,嵩山少林寺輯志,補編,新編部類,24,11卷,輯自傅梅撰《嵩書》,
B0142,新校定的敦煌寫本神會和尚遺著兩種,補編,新編部類,25,1卷,胡適校定,
B0143,神會和尚語錄的第三個敦煌寫本：南陽和尚問答雜徵義,補編,新編部類,25,1卷,胡適校定,
B0144,祖堂集,補編,新編部類,25,20卷,靜、筠二禪德編著,
B0145,天目中峰廣錄,補編,新編部類,25,30卷,中峰明本著,
B0146,房山雲居寺石經──經文、題記、碑銘等拓片之選輯,補編,新編部類,26,5卷,,
B0147,三階教殘卷,補編,新編部類,26,17卷,矢吹慶輝輯,
B0148,東坡禪喜集,補編,新編部類,26,9卷,徐長孺輯,
B0149,鳴道集說,補編,新編部類,26,5卷,李屏山著,
B0150,道餘錄,補編,新編部類,26,1卷,姚廣孝著,
B0151,新續高僧傳,補編,新編部類,27,65卷,喻謙著,
B0152,普濟玉琳國師語錄,補編,新編部類,27,14卷,音緯等編,
B0153,法藏碎金錄,補編,新編部類,27,10卷,晁逈著,
B0155,聖朝破邪集,補編,新編部類,28,8卷,徐昌治編,
B0156,佛法金湯,補編,新編部類,28,3卷,屠隆著,
B0157,楊仁山居士遺書,補編,新編部類,28,24卷,楊文會著,
B0158,陰騭文圖,補編,新編部類,28,1卷,費丹旭繪圖 許光清集證,
B0159,了凡四訓,補編,新編部類,28,1卷,袁了凡著,
B0160,金陵梵剎志,補編,新編部類,29,53卷,葛寅亮著,
B0161,武林梵志,補編,新編部類,29,12卷,吳之鯨著,
B0163,重修曹溪通志,補編,新編部類,30,8卷,馬元、釋真樸重修,
B0169,朝鮮寺剎史料,補編,新編部類,31,2卷,,
B0170,朝鮮佛教通史,補編,新編部類,31,3卷,李能和著,
B0171,八宗綱要鈔,補編,新編部類,32,2卷,凝然述,
B0172,出定後語,補編,新編部類,32,2卷,富永仲基著,
B0173,元亨釋書,補編,新編部類,32,30卷,師鍊著,
B0174,參天台五台山記,補編,新編部類,32,8卷,成尋著,
B0175,喫茶養生記,補編,新編部類,32,2卷,榮西著,
B0176,四宗要文,補編,新編部類,32,3卷,日朝著 英園纂補,
B0177,本朝諸宗要集,補編,新編部類,32,5卷,義觀述,
B0178,東大寺六宗未決義,補編,新編部類,32,1卷,,
B0179,八海含藏,補編,新編部類,32,1卷,師鍊著,
B0180,華嚴通關,補編,新編部類,32,1卷,定仙著,
B0181,諸宗教理同異釋,補編,新編部類,32,1卷,賴瑜釋,
B0182,內典塵露章,補編,新編部類,32,1卷,凝然述,
B0183,禪祖念佛集,補編,新編部類,32,2卷,慧中集,
B0184,顯揚正法復古集,補編,新編部類,32,2卷,普寂著,
B0185,初學題額集,補編,新編部類,32,3卷,良山集,
B0186,三國佛法傳通緣起,補編,新編部類,32,3卷,凝然述,
B0187,二障義,補編,新編部類,32,1卷,元曉著,
B0189,大華嚴一乘法界圖註并序,補編,新編部類,32,1卷,雪岑著,
B0190,華嚴經釋題,補編,新編部類,32,1卷,雪岑著,
B0191,義相法師法性偈,補編,新編部類,32,1卷,有聞科註 聖奎證正,
B0192,釋文紀,補編,新編部類,33,45卷,梅鼎祚輯,
B0193,吳都法乘,補編,新編部類,34,30卷,周永年編,
B0194,中華大藏經總目錄,補編,新編部類,35,8卷,蔡念生編,
B0195,頓悟大乘政理決,補編,新編部類,35,1卷,王錫著 ,
B0196,大乘中宗見解,補編,新編部類,35,1卷,,
B0197,摩訶婆羅多的故事,補編,新編部類,36,1卷,拉賈戈帕拉查理改寫 唐季雍譯,
B0198,博伽梵歌,補編,新編部類,36,18卷,雅蘇瑪蒂書達．踏薩譯,
C1163,一切經音義,中華藏,事彙部類,56..57,25卷,唐 玄應撰,唐618~907
C1169,紹興重雕大藏音,中華藏,事彙部類,59,3卷,宋 處觀著,宋960~1279
C1665,菩薩名經,中華藏,經集部類,71,10卷,宋 羅濬集,宋960~1279
C1666,梵本大悲神咒,中華藏,密教部類,71,1卷,,
C1679,御製佛賦,中華藏,事彙部類,73,2卷,宋 趙炅撰,宋960~1279
C1680,御製詮源歌,中華藏,事彙部類,73,1卷,宋 趙炅撰,宋960~1279
C1710,古尊宿語錄,中華藏,禪宗部類,77,48卷,宋 頤藏主集　明 淨戒重校,宋960~1279
C1720,禪宗頌古聯珠通集,中華藏,禪宗部類,78,21卷,宋 法應集　元 普會續集　明 淨戒重校,宋960~1279
C1821,楞伽經纂,中華藏,經集部類,97,4卷,劉宋 求那跋陀羅譯經　宋 楊彥國詮註,劉宋420~479
C1937,大明重刊三藏聖教目錄,中華藏,事彙部類,106,3卷,明 雙徑山僧眾編,明1368~1644
D8679,佛說佛名經,國圖,國圖善本部類,1,1卷,,
D8680,佛說佛名經,國圖,國圖善本部類,2,1卷,,
D8701,盂蘭盆經講經文,國圖,國圖善本部類,3,1卷,,
D8724,報恩金剛經文十二段,國圖,國圖善本部類,4,1卷,唐 楊仙鸖撰,唐618~907
D8774,羯磨文,國圖,國圖善本部類,5,1卷,,
D8775,式叉摩那尼六法,國圖,國圖善本部類,6,1卷,,
D8779,鳩摩羅什法師誦法,國圖,國圖善本部類,7,1卷,東晉 釋慧融等集,東晉317~420
D8780,小鈔,國圖,國圖善本部類,8,1卷,,
D8790,佛性觀,國圖,國圖善本部類,9,1卷,,
D8814,佛頂尊勝陀羅尼等靈異神咒二十道,國圖,國圖善本部類,10,1卷,,
D8817,佛性觀,國圖,國圖善本部類,11,1卷,,
D8820,新菩薩經,國圖,國圖善本部類,12,1卷,,
D8838,金剛般若波羅蜜經,國圖,國圖善本部類,13,1卷,元 釋思聰註解,元1271~1368
D8842,般若心經註解,國圖,國圖善本部類,14,1卷,日本 釋圓耳撰,日本
D8853,梵網古跡抄,國圖,國圖善本部類,15,8卷,,
D8859,楞嚴妙指,國圖,國圖善本部類,16,10卷,明 釋弘演撰,明1368~1644
D8862,楞嚴經四依解,國圖,國圖善本部類,17,10卷,明 釋觀衡述,明1368~1644
D8863,大日經疏指心鈔,國圖,國圖善本部類,18,16卷,唐 釋一行撰,唐618~907
D8864,大日經劫心義章,國圖,國圖善本部類,19,3卷,日本 釋運敞撰,日本
D8869,惟教三昧,國圖,國圖善本部類,20,1卷,,
D8871,□者眷屬,國圖,國圖善本部類,21,1卷,,
D8874,成實論義記,國圖,國圖善本部類,22,1卷,唐 釋其甲撰,唐618~907
D8879,成唯識論訂正,國圖,國圖善本部類,23,10卷,明 釋廣伸撰,明1368~1644
D8880,成唯識論述記序釋,國圖,國圖善本部類,24,1卷,日本 釋善珠撰,日本
D8881,菩提心論問題,國圖,國圖善本部類,25,2卷,日本 釋善珠撰,日本
D8882,菩提心論口筆,國圖,國圖善本部類,26,1卷,日本 釋實順撰,日本
D8883,百法問答聞書抄,國圖,國圖善本部類,27,6卷,,
D8885,因明入正理論後記,國圖,國圖善本部類,28,6卷,清 吳樹虛撰,清1644~1911
D8888,表無表章詮要鈔,國圖,國圖善本部類,29,6卷,唐 釋窺基撰,唐618~907
D8889,教相樞要鈔,國圖,國圖善本部類,30,2卷,日本 釋高範撰,日本
D8890,唐三藏法師唯識量質疑錄,國圖,國圖善本部類,31,2卷,清 吳樹虛撰,清1644~1911
D8891,表無表章詳體文集,國圖,國圖善本部類,32,3卷,日本 釋叡尊撰,日本
D8892,略述法相義依釋,國圖,國圖善本部類,33,3卷,日本 釋高範撰,日本
D8893,法宗原私記,國圖,國圖善本部類,34,2卷,日本 釋龍謙撰,日本
D8894,頌義八拔萃,國圖,國圖善本部類,35,5卷,,
D8895,略述法相義,國圖,國圖善本部類,36,3卷,日本 釋良光撰,日本
D8896,唯識義,國圖,國圖善本部類,37,6卷,日本 釋真興撰,日本
D8898,脩大方廣佛華嚴法界觀,國圖,國圖善本部類,38,1卷,唐 釋杜順編,唐618~907
D8899,圭峰禪師原人論發微錄,國圖,國圖善本部類,39,1卷,宋 釋淨源撰,宋960~1279
D8903,天台名目類聚鈔,國圖,國圖善本部類,40,7卷,日本 釋貞舜撰,日本
D8904,西谷名目句解,國圖,國圖善本部類,41,7卷,,
D8905,選擇傳弘決疑鈔,國圖,國圖善本部類,42,5卷,日本 釋良忠撰,日本
D8913,識知淨土論,國圖,國圖善本部類,43,1卷,日本 弁阿撰,日本
D8914,釋淨土群疑論探要記,國圖,國圖善本部類,44,14卷,,
D8915,禪門偈,國圖,國圖善本部類,45,1卷,,
D8930,特賜興禪大燈國師參詳語要,國圖,國圖善本部類,46,2卷,日本 釋妙超撰,日本
D8936,正信念佛偈私見聞,國圖,國圖善本部類,47,5卷,日本 釋空誓撰,日本
D8939,古尊宿語錄,國圖,國圖善本部類,48,33卷,,
D8942,四家錄,國圖,國圖善本部類,49,4卷,元 釋海島編,元1271~1368
D8945,雪峰空和尚外集,國圖,國圖善本部類,50,1卷,宋 釋慧空撰　釋惠然編,宋960~1279
D8948,佛國禪師語錄,國圖,國圖善本部類,51,2卷,元 釋無學撰　釋妙環等編,元1271~1368
D8951,如來香,國圖,國圖善本部類,52,14卷,清 唐時編,清1644~1911
D8952,為二太子中元盂蘭薦福文,國圖,國圖善本部類,53,1卷,,
D8953,結壇散食迴向發願文,國圖,國圖善本部類,54,1卷,,
D8954,儀註備簡,國圖,國圖善本部類,55,10卷,明 釋大惠撰,明1368~1644
D8980,冥樞會要,國圖,國圖善本部類,56,3卷,宋 釋祖心編,宋960~1279
D9000,空谷集,國圖,國圖善本部類,57,3卷,明 釋景隆撰,明1368~1644
D9010,閱藏隨錄,國圖,國圖善本部類,58,1卷,明 王芥庵撰,明1368~1644
D9011,藏經值畫一目錄,國圖,國圖善本部類,59,1卷,,
D9021,知儒編,國圖,國圖善本部類,60,1卷,明 周夢秀撰,明1368~1644
D9025,淨土三部經音義集,國圖,國圖善本部類,61,4卷,日本 釋信瑞撰,日本
D9026,大悲觀世音菩薩至道禮文,國圖,國圖善本部類,62,1卷,,
D9027,道安法師念佛讚文附入山讚文,國圖,國圖善本部類,63,1卷,,
D9031,僧家禮儀文,國圖,國圖善本部類,64,1卷,朝鮮 釋冲絢撰,朝鮮
F0016,大王觀世音經,房山石經,法華部類,1,1卷,,
F0041,比丘尼羯磨經,房山石經,律部類,2,1卷,劉宋 求那跋摩譯,劉宋420~479
F0069,因果本起經,房山石經,本緣部類,2,1卷,宋 求那跋陀羅譯,宋960~1279
F0088,佛說灌頂章句拔除過罪生死得度經,房山石經,經集部類,3,1卷,東晉 帛尸梨密多羅譯,東晉317~420
F0089,佛說恒水流樹經,房山石經,阿含部類,3,1卷,劉宋 天竺三藏求那跋陀羅譯,劉宋420~479
F0100,金剛般若波羅蜜經,房山石經,般若部類,3,1卷,唐 玄宗李隆基注,唐618~907
F0181,大般若關,房山石經,般若部類,3,1卷,,
F0248,佛說救護身命經,房山石經,涅槃部類,3,1卷,比丘道真譯,
F0546,大方廣圓覺修多羅了義經,房山石經,經集部類,12,1卷,遼 通理大師集,遼907~1125
F0761,觀自在菩薩廣大圓滿無礙大悲根本陀羅尼,房山石經,密教部類,24,1卷,唐 南天竺國三藏金剛智譯,唐618~907
F1048,一切如來白傘蓋大佛頂陀羅尼,房山石經,密教部類,27,1卷,唐 不空譯,唐618~907
F1050,聖千手千眼觀自在菩薩摩訶薩廣大圓滿無礙大悲心陀羅尼,房山石經,密教部類,27,1卷,唐 不空譯,唐618~907
F1056,梵本般若波羅蜜多心經,房山石經,般若部類,27,1卷,唐 不空譯,唐618~907
F1060,梵本般若波羅蜜多心經,房山石經,般若部類,27,1卷,宋 慈賢譯,宋960~1279
F1061,大隨求陀羅尼,房山石經,密教部類,27,1卷,宋 慈賢譯,宋960~1279
F1062,佛頂尊勝陀羅尼,房山石經,密教部類,27,1卷,宋 慈賢譯,宋960~1279
F1063,一切如來白傘蓋大佛頂陀羅尼,房山石經,密教部類,27,1卷,宋 慈賢譯,宋960~1279
F1064,大悲心陀羅尼,房山石經,密教部類,27,1卷,宋 慈賢譯,宋960~1279
F1071,釋教最上乘秘密藏陀羅尼集,房山石經,密教部類,28,30卷,行琳集,
F1072,一切佛菩薩名集,房山石經,經集部類,28,22卷,德雲集,
F1076,發菩提心戒,房山石經,華嚴部類,28,1卷,石經寺主講經律沙門志仙記,
F1081,一乘法界圖合詩一印,房山石經,華嚴部類,28,1卷,儼法師造,
F1082,釋華嚴漩澓偈,房山石經,華嚴部類,28,1卷,南岳般舟道場比丘惟勁釋,
F1083,漩澓偈,房山石經,華嚴部類,28,1卷,杜順法師造,
F1084,健拏標訶一乘修行者秘密義記,房山石經,華嚴部類,28,1卷,大香山隱士釋法藏述,
F1098,高上玉皇本行集經髓,房山石經,事彙部類,29,1卷,儼法師造,
F1099,無上玉皇心印經,房山石經,事彙部類,29,1卷,杜順法師造,
G1222,一字頂輪王瑜伽經,佛教大藏經,密教部類,52,1卷,唐 不空譯,唐618~907
G1977,科始終心要,佛教大藏經,法華部類,69,1卷,唐 湛然述,唐618~907
G2073,大明太宗文皇帝御製文殊讚,佛教大藏經,事彙部類,83,1卷,明 太宗御製,明1368~1644
G2075,御製釋迦牟尼佛讚,佛教大藏經,事彙部類,83,1卷,明 太宗御製,明1368~1644
G2084,坐禪箴,佛教大藏經,禪宗部類,84,1卷,日本 道元撰,日本
G2086,三根坐禪說,佛教大藏經,禪宗部類,84,1卷,日本 瑩山撰,日本
GA0002,洛陽伽藍記集證,志彙,,1,6卷,清 吳若準集證,清1644~1911
GA0003,洛陽伽藍記鉤沈,志彙,,1,5卷,民國 唐晏鉤沈,民國1912~9999
GA0004,洛陽伽藍記合校本,志彙,,1,8卷,民國 張宗祥合校,民國1912~9999
GA0005,南朝佛寺志,志彙,,2,2卷,清 孫文川撰　陳作霖編,清1644~1911
GA0008,重修普陀山志,志彙,,9,6卷,明 周應賓撰,明1368~1644
GA0009,普陀洛迦新志,志彙,,10,12卷,民國 王亨彥撰,民國1912~9999
GA0010,明州阿育王山志,志彙,,11..12,10卷,明 郭子章撰,明1368~1644
GA0011,明州阿育王山續志,志彙,,12,6卷,清 釋畹荃撰,清1644~1911
GA0012,天童寺志,志彙,,13..14,10卷,清 聞性道．釋德介撰,清1644~1911
GA0013,七塔寺志,志彙,,15,8卷,民國 陳寥士撰,民國1912~9999
GA0014,明州岳林寺志,志彙,,15,6卷,清 戴明琮撰,清1644~1911
GA0015,大昭慶律寺志,志彙,,16,10卷,清 吳樹虛撰,清1644~1911
GA0017,玉岑山慧因高麗華嚴教寺志,志彙,,20,12卷,明 李翥撰　清 丁丙補,明1368~1644
GA0018,鳳凰山聖果寺志,志彙,,20,1卷,清 釋超乾撰,清1644~1911
GA0019,武林理安寺志,志彙,,21,8卷,清 杭世駿撰,清1644~1911
GA0020,龍井見聞錄,志彙,,22,12卷,清 汪孟鋗撰,清1644~1911
GA0021,武林靈隱寺志,志彙,,23,8卷,清 孫治撰　徐增重編,清1644~1911
GA0022,增修雲林寺志,志彙,,24,8卷,清 厲鶚．張熷撰,清1644~1911
GA0023,雲林寺續志,志彙,,25,8卷,清 沈鑅彪撰,清1644~1911
GA0024,杭州上天竺講寺志,志彙,,26,15卷,明 釋廣賓撰,明1368~1644
GA0025,雲居聖水寺志,志彙,,27,7卷,清 釋𧧌湛．釋明倫原輯　釋通淵．釋實懿重纂,清1644~1911
GA0028,龍興祥符戒壇寺志,志彙,,29,12卷,清 張大昌撰,清1644~1911
GA0029,西谿梵隱志,志彙,,30,4卷,清 吳本泰撰　釋智一編,清1644~1911
GA0030,崇福寺志,志彙,,30,4卷,清 朱文藻撰,清1644~1911
GA0031,續崇福寺志,志彙,,30,2卷,清 章庭棫撰,清1644~1911
GA0032,徑山志,志彙,,31..32,14卷,明 宋奎光撰,明1368~1644
GA0036,破山興福寺志,志彙,,35,5卷,明 程嘉燧撰　蘇先繪圖,明1368~1644
GA0043,寒山寺志,志彙,,43,3卷,清 葉昌熾纂,清1644~1911
GA0049,峨眉山志,志彙,,45,8卷,清 蔣超撰　民國 釋印光重修,清1644~1911
GA0062,泉州開元寺志,志彙,,58,1卷,明 釋元賢撰,明1368~1644
GA0077,九華山志,志彙,,72,8卷,民國 釋印光重修,民國1912~9999
GA0081,清涼山志,志彙,,79,8卷,民國 釋印光重修,民國1912~9999
GA0084,雞足山寺志,志彙,,81..82,10卷,明 錢邦纂　清 茫承勳增修,明1368~1644
GA0086,黃檗山寺志,志彙,,84,8卷,,
GA0089,天台山方外志,志彙,,88..90,30卷,,
GB0109,徑山集,志叢,新編部類,78,3卷,明 釋宗淨集,明1368~1644
I0001,宕昌公暉福寺碑,佛拓,新編部類,1,1卷,顏娟英主編,
I0002,姚伯多等造像記,佛拓,新編部類,1,1卷,顏娟英主編,
I0003,元景造石窟記,佛拓,新編部類,1,1卷,顏娟英主編,
I0004,韓貞等造石窟記,佛拓,新編部類,1,1卷,顏娟英主編,
I0005,劉未等造像記,佛拓,新編部類,1,1卷,顏娟英主編,
I0006,高伏德等三百人造像記,佛拓,新編部類,1,1卷,顏娟英主編,
I0007,比丘法雅等千人造九級浮圖碑,佛拓,新編部類,1,1卷,顏娟英主編,
I0008,張道智造像記,佛拓,新編部類,1,1卷,顏娟英主編,
I0009,高洛周七十人等造像記,佛拓,新編部類,1,1卷,顏娟英主編,
I0010,僧暈等造像記,佛拓,新編部類,1,1卷,顏娟英主編,
I0011,馮神育等二百廿人造像碑,佛拓,新編部類,1,1卷,顏娟英主編,
I0012,嵩顯寺碑,佛拓,新編部類,1,1卷,顏娟英主編,
I0013,南石窟寺碑,佛拓,新編部類,1,1卷,顏娟英主編,
I0014,比丘郭曇勝造像記,佛拓,新編部類,1,1卷,顏娟英主編,
I0015,張安世造像記,佛拓,新編部類,1,1卷,顏娟英主編,
